postal_code,walk_score,bike_score,transit_score
T2G 3V3,39,88,53
T3M 2S5,8,55,34
T2V 4T5,20,72,32
T3K 3R5,20,54,41
T2Z 4G2,62,81,47
T2Z 4P3,46,66,44
T2E 9C4,72,99,57
T3B 5X4,7,52,36
T2P 4X2,79,95,73
T2Z 3N8,36,69,33
T3E 1Z3,56,85,54
T2J 1B6,37,64,32
T3K 0K2,40,47,39
T3R 1V5,20,53,32
T2K 6J4,29,63,49
T3R 0E8,10,43,30
T2J 4K2,18,57,33
T2T 2C6,74,78,47
T3A 4R6,17,61,59
T2E 0B5,78,97,70
T3K 2P7,17,54,28
T3M 2X6,8,55,34
T3M 3E4,8,55,34
T3M 2C8,8,55,34
T2W 5T5,19,64,26
T3J 5H1,30,66,52
T2V 5C1,49,77,36
T2K 0L9,51,52,54
T3H 4X3,5,29,35
T2X 0G4,56,52,23
T3H 3R6,24,66,43
T2L 1N4,56,76,58
T2R 0S5,90,94,68
T2Y 1G8,32,68,53
T2Y 0B5,66,74,34
T2G 3P8,44,67,44
T3L 0C2,9,67,35
T2T 1S7,57,80,45
T3K 4A5,52,70,40
T3G 5B9,26,41,53
T3P 1C1,28,58,39
T3H 3K5,70,81,46
T3H 0G3,27,72,54
T2P 0G7,90,96,77
T2M 2S7,82,99,58
T3A 2Y1,10,51,24
T2E 5C4,54,77,48
T2M 1L3,75,97,58
T2S 2P8,59,85,54
T3M 3E7,8,55,34
T2V 2J2,52,78,56
T3E 1Y5,58,92,58
T3G 0B7,21,40,50
T2C 4E2,41,74,48
T2K 0K5,62,71,53
T3P 1J5,0,30,0
T2W 0Y8,23,61,38
T3E 7V5,31,80,48
T3G 2W4,18,49,35
T2T 4S8,56,84,51
T3G 5M8,19,59,32
T2W 2E7,30,63,34
T3H 4V4,12,46,39
T3E 7E9,50,80,48
T2C 1A9,35,74,47
T3K 6A1,11,47,41
T2Y 5A1,66,69,34
T2C 3R6,51,75,43
T2Y 3E7,15,63,37
T2V 0N6,54,85,53
T3A 1K5,67,83,63
T2Y 4W8,23,65,32
T3E 4V4,48,61,48
T3G 2R9,22,54,40
T2Z 2M8,42,70,44
T2R 1S5,91,97,70
T2X 3K8,22,63,30
T3K 2M6,53,69,51
T2Z 2J2,15,61,38
T3E 3M8,44,59,47
T3R 0T3,11,50,33
T3H 1V6,52,70,38
T3M 1M6,6,59,24
T3R 0W6,0,38,0
T2X 2L5,7,50,37
T3E 3S9,46,74,56
T2Y 4H7,33,66,38
T2V 0H3,73,82,58
T2E 9B3,52,76,50
T3N 1S1,0,26,18
T2Z 3S3,51,78,46
T3A 0M6,60,84,55
T3H 4M2,6,68,38
T3K 4L6,26,58,38
T3B 2H5,43,74,40
T2J 0Y7,40,65,39
T3J 0Z6,33,67,59
T2Z 0H8,10,59,32
T3K 2W9,23,55,41
T2S 1R3,50,90,54
T3B 0E1,53,83,46
T2K 1Z5,45,77,50
T2T 3M5,37,76,43
T3J 0V7,33,67,59
T3R 1P3,20,55,38
T3K 4T1,20,58,33
T3E 3W5,35,83,40
T2S 3C9,54,86,58
T2X 3X5,47,68,32
T3M 2C3,2,28,22
T3B 5E6,29,68,38
